tag_str rootfileName total_events xsec xsec_weight Legend
DYJetsToLL_M-50_HT-800to1200_TuneCUETP8M1 Merged_DYJetsToLL_M-50_HT-800to1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 2668730.0 0.6304 0.00850382016914 DYJetsToLL
TTZToLLNuNu_M-10_TuneCUETP8M1 Merged_TTZToLLNuNu_M-10_TuneCUETP8M1_13TeV-amcatnlo-pythia8_0000_1.root 2741400.0 0.2529 0.00332107682206 TTZToLLNuNu
WZTo3LNu_TuneCUETP8M1 Merged_WZTo3LNu_TuneCUETP8M1_13TeV-powheg-pythia8_0000_1.root 1993200.0 4.4297 0.0800066225166 WZTo3LNu
WWTo4Q_4f Merged_WWTo4Q_4f_13TeV_amcatnloFXFX_madspin_pythia8_0000_1.root 18974428.0 51.723 0.0981335511142 WWTo4Q
DYJetsToLL_M-50_HT-200to400_TuneCUETP8M1 Merged_DYJetsToLL_M-50_HT-200to400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 962195.0 40.99 1.53361844533 DYJetsToLL
ZJetsToNuNu_HT-1200To2500 Merged_ZJetsToNuNu_HT-1200To2500_13TeV-madgraph_MC25ns_LegacyMC_20170328_0000_1.root 369514.0 0.28833 0.0280906271481 ZJetsToNuNu
WJetsToLNu_HT-400To600_TuneCUETP8M1 Merged_WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 679431.0 48.91 2.59152143485 WJetsToLNu
TTTo2L2Nu_TuneCUETP8M2_ttHtranche3 Merged_TTTo2L2Nu_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8_0000_1.root 52647400.0 87.31 0.0597020935507 TTTo2L2Nu
ST_s-channel_4f_leptonDecays Merged_ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1_MC25ns_LegacyMC_20170328_0000_1.root 622990.0 3.36 0.19416041991 ST
ZJetsToNuNu_HT-200To400 Merged_ZJetsToNuNu_HT-200To400_13TeV-madgraph_MC25ns_LegacyMC_20170328_0000_1.root 5132650.0 77.67 0.544771219545 ZJetsToNuNu
ST_t-channel_top_4f_inclusiveDecays Merged_ST_t-channel_top_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1_MC25ns_LegacyMC_2017_0000_1.root 45014524.0 136.02 0.108780890363 ST
DYJetsToLL_M-50_HT-600to800_TuneCUETP8M1 Merged_DYJetsToLL_M-50_HT-600to800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 8292957.0 1.367 0.00593419211024 DYJetsToLL
DYJetsToLL_M-50_HT-70to100_TuneCUETP8M1 Merged_DYJetsToLL_M-50_HT-70to100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 9616188.0 169.9 0.636052456545 DYJetsToLL
TT_TuneCUETP8M2T4 Merged_TT_TuneCUETP8M2T4_13TeV-powheg-pythia8_0000_1.root 36679240.0 831.76 0.816357154619 TT
WZTo2Q2Nu Merged_WZTo2Q2Nu_13TeV_amcatnloFXFX_madspin_pythia8_0000_1.root 10374158.0 6.488 0.0225144055065 WZTo2Q2Nu
